track,pit_laps,tire_comp,rain,total_time,stops,pits,tire,time
Monaco,"[20, 40]",HARD,0.3,5658.35,,,,
Monaco_Street,,,0.0,,2.0,"[15, 30]",SOFT,6999.379999999999
Monaco_Street,,,0.0,,2.0,"[15, 31]",SOFT,7001.219999999999
Monaco_Street,,,0.0,,2.0,"[16, 31]",SOFT,7001.22
Monaco_Street,,,0.0,,2.0,"[15, 32]",SOFT,7002.945
Monaco_Street,,,0.0,,2.0,"[17, 32]",SOFT,7002.945000000001
Monaco_Street,,,0.0,,3.0,"[25, 39, 54]",SOFT,6807.168107697749
Monaco_Street,,,0.0,,3.0,"[25, 40, 53]",SOFT,6807.16810769775
Monaco_Street,,,0.0,,3.0,"[25, 40, 55]",SOFT,6807.16810769775
Monaco_Street,,,0.0,,3.0,"[25, 38, 50]",SOFT,6807.180566031083
Monaco_Street,,,0.0,,3.0,"[25, 38, 52]",SOFT,6807.180566031083
Monaco_Street,,,0.9,,3.0,"[25, 39, 52]",SOFT,7085.399493714539
Monaco_Street,,,0.9,,3.0,"[25, 38, 53]",SOFT,7085.39949371454
Monaco_Street,,,0.9,,3.0,"[25, 38, 55]",SOFT,7085.39949371454
Monaco_Street,,,0.9,,3.0,"[19, 37, 55]",INTERMEDIATE,6434.02572873804
Monaco_Street,,,0.9,,3.0,"[20, 37, 55]",INTERMEDIATE,6434.646375978019
Monaco_Street,,,0.9,,3.0,"[18, 35, 55]",INTERMEDIATE,6434.780312124929
Monaco_Street,,,0.9,,3.0,"[20, 39, 55]",INTERMEDIATE,6435.296989083688
Monaco_Street,,,0.9,,3.0,"[19, 35, 55]",INTERMEDIATE,6435.405166257494
Monaco_Street,,,0.6,,3.0,"[19, 36, 55]",MEDIUM,6623.468166537116
Monaco_Street,,,0.6,,3.0,"[16, 35, 55]",MEDIUM,6627.478227738533
Monaco_Street,,,0.6,,3.0,"[17, 38, 55]",MEDIUM,6628.6092650632245
Monaco_Street,,,1.0,,3.0,"[18, 36, 55]",HARD,6667.700479513325
Monaco_Street,,,1.0,,3.0,"[20, 38, 55]",HARD,6668.176394778617
Monaco_Street,,,1.0,,3.0,"[18, 38, 55]",HARD,6668.244131117247
Silverstone_Fast,,,0.0,,2.0,"[18, 36]",SOFT,4684.752368143902
Silverstone_Fast,,,0.0,,2.0,"[16, 35]",SOFT,4685.89210336173
Silverstone_Fast,,,0.0,,2.0,"[17, 33]",SOFT,4685.923072688653
Silverstone_Fast,,,0.0,,2.0,"[16, 36]",SOFT,4688.292629164422
Silverstone_Fast,,,0.0,,2.0,"[19, 37]",SOFT,4688.628879255202
Silverstone_Fast,,,0.0,,2.0,"[17, 35]",HARD,4576.024324323676
Silverstone_Fast,,,0.0,,2.0,"[18, 33]",HARD,4576.6210739736935
Silverstone_Fast,,,0.0,,2.0,"[15, 33]",HARD,4576.625138174526
Silverstone_Fast,,,0.0,,2.0,"[18, 35]",MEDIUM,4568.111197186671
Silverstone_Fast,,,0.0,,2.0,"[19, 36]",MEDIUM,4568.611736982032
Silverstone_Fast,,,0.0,,2.0,"[16, 33]",MEDIUM,4568.717747195487
Silverstone_Fast,,,0.0,,2.0,"[20, 36]",MEDIUM,4569.386076104854
Silverstone_Fast,,,1.0,,2.0,"[18, 34]",WET,4653.071480654931
Silverstone_Fast,,,1.0,,2.0,"[17, 36]",WET,4653.25286756353
Silverstone_Fast,,,1.0,,2.0,"[18, 37]",WET,4653.488515541283
Silverstone_Fast,,,1.0,,2.0,"[20, 35]",WET,4653.831646945507
Silverstone_Fast,,,1.0,,2.0,"[17, 34]",HARD,4781.0889956380925
Silverstone_Fast,,,1.0,,2.0,"[15, 34]",HARD,4781.686298133725
Silverstone_Fast,,,0.0,,2.0,"[19, 34]",HARD,4576.612307691295
Monaco_Street,,,0.6,7075.33516874215,2.0,"[30, 45]",SOFT,
Monaco_Street,,,0.6,7075.431666927169,2.0,"[29, 45]",SOFT,
Monaco_Street,,,0.6,7075.431666927169,2.0,"[29, 46]",SOFT,
Monaco_Street,,,0.6,7075.431666927169,2.0,"[29, 50]",SOFT,
Monaco_Street,,,0.6,7075.53267263476,2.0,"[28, 46]",SOFT,
